Q1,Q2,Q3,Q4,Q5_3,I9#1_1,I9#1_2,I9#1_3,I9#1_4,I9#1_5,I9#1_6,I9#1_7,I9#1_8,I11,I12,I13,I14_1
Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,4
Male,Some College,Caucasian or White,Donald Trump,3.9,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1.8
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6
Male,Some College,Hispanic or Latino,Did not vote,2,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,No,No,No,7
Female,High School,Caucasian or White,Donald Trump,6.9,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,5.1
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.1,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5.2
Male,Some College,Caucasian or White,Hillary Clinton,1.5,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,6
Male,High School,Caucasian or White,Did not vote,2.1,Should be deported,Should be deported,Should be deported,Should be deported,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be deported,Yes,Yes,No,1.1
Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Should be deported,Yes,Yes,Yes,1
Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be allowed to stay in US,Should be deported,Should be allowed to stay in US,No,No,No,5
