Language,yearsInUS,deportIllegal,Vote,knowUndocumented,TrumpDiscrimination,AgeOrig,Sex1,BornInUS
EN,4,0,Clinton,1,1.9,18-24,Female,0
EN,5,1,Did Not Vote,1,4.8,41-50,Female,NA
EN,4,0,Clinton,1,5.8,25-30,Female,1
ES,3,0,Did Not Vote,1,4.8,41-50,Male,0
EN,5,0,Clinton,0,7,41-50,Male,1
EN,5,0,Did Not Vote,0,4,51-60,Female,1
EN,5,0,Clinton,0,7,51-60,Male,1
EN,5,0,Clinton,0,6.1,41-50,Female,1
EN,2,0,Clinton,1,4.7,18-24,Female,NA
EN,3,0,Clinton,0,5.2,18-24,Female,0
EN,4,0,Other,0,NA,18-24,Female,1
EN,4,0,Clinton,1,NA,25-30,Female,NA
EN,5,0,Clinton,1,7,51-60,Male,1
EN,3,0,Other,0,5.6,18-24,Male,1
EN,4,0,Did Not Vote,1,5.2,31-40,Female,1
EN,1,0,Did Not Vote,0,5.6,31-40,Female,0
EN,5,1,Other,1,4,31-40,Male,1
EN,5,1,Trump,1,1.4,41-50,Male,1
EN,4,1,Clinton,0,4.1,31-40,Male,1
EN,3,1,Trump,1,5.2,18-24,Female,1
EN,5,1,Clinton,0,6,51-60,Female,0
EN,3,1,Did Not Vote,0,3.8,18-24,Female,1
EN,1,NA,Trump,0,5.2,31-40,Female,1
EN,4,0,Clinton,0,6.3,18-24,Female,1
EN,5,0,Clinton,1,5.7,31-40,Female,1
EN,3,0,Did Not Vote,1,5.4,18-24,Female,1
EN,4,1,Clinton,1,7,18-24,Female,1
EN,4,0,Clinton,0,7,25-30,Female,1
EN,5,1,Did Not Vote,0,1,31-40,Male,1
EN,1,0,Did Not Vote,0,7,51-60,Female,0
EN,5,0,Clinton,0,6.2,51-60,Female,1
EN,5,0,Clinton,0,7,31-40,Female,1
EN,5,0,Clinton,0,5.9,41-50,Female,1
ES,1,0,Did Not Vote,1,4,41-50,Female,0
EN,5,1,Clinton,1,6,31-40,Female,1
EN,5,1,Clinton,0,7,61+,Female,1
EN,5,0,Did Not Vote,1,6.7,41-50,Female,1
ES,5,1,Trump,1,6.1,51-60,Female,0
EN,4,1,Other,0,NA,25-30,Male,1
ES,1,NA,Clinton,1,NA,31-40,Male,0
ES,3,0,Clinton,1,7,31-40,Female,0
ES,1,0,Did Not Vote,0,6.2,41-50,Female,0
ES,3,0,Did Not Vote,1,7,41-50,Male,NA
ES,1,0,Did Not Vote,0,4,25-30,Female,0
EN,4,0,Other,1,7,18-24,Female,1
EN,5,0,Clinton,1,NA,25-30,Female,1
EN,5,0,Clinton,1,6.3,41-50,Male,0
ES,1,0,Did Not Vote,0,5.3,18-24,Female,1
EN,4,0,Clinton,1,5.7,25-30,Male,1
EN,NA,0,Did Not Vote,0,5.4,18-24,Female,1
EN,3,0,Clinton,1,7,18-24,Male,1
EN,5,0,Did Not Vote,1,7,41-50,Male,1
ES,1,0,Clinton,0,7,25-30,Female,0
EN,5,NA,Trump,0,4.7,51-60,Female,1
EN,3,0,Did Not Vote,0,6,18-24,Female,1
EN,5,1,Trump,0,4.3,51-60,Male,1
EN,3,1,Did Not Vote,0,2,25-30,Male,0
EN,5,0,Clinton,1,4.7,25-30,Female,0
EN,5,1,Trump,0,3,31-40,Male,1
EN,5,0,Clinton,1,7,41-50,Female,1
ES,1,0,Clinton,1,6.9,31-40,Female,0
ES,3,0,Did Not Vote,1,7,25-30,Male,0
ES,1,0,Did Not Vote,0,6.4,31-40,Female,0
ES,1,NA,Did Not Vote,1,NA,41-50,Male,0
EN,3,0,Clinton,1,6,41-50,Male,1
EN,3,1,Trump,1,6.1,18-24,Male,1
EN,5,1,Trump,0,2.9,31-40,Female,1
EN,5,0,Clinton,0,7,31-40,Male,1
EN,5,0,Other,1,5.4,41-50,Male,0
ES,2,NA,Did Not Vote,NA,5.1,25-30,Female,1
EN,NA,0,Did Not Vote,1,4.1,25-30,Female,1
EN,5,0,Did Not Vote,1,NA,31-40,Female,1
